   year                                               class                                             vehicle                                            position                                          stages won
0  2004                                                 car                                          mitsubishi                                                  10                                                   0
1  2005                                                 car                                                 bmw                                                 dnf                                                   0
2  2006                                                 car                                                 bmw                                                 dnf                                                   0
3  2007                                                 car                                                 bmw                                                   6                                                   1
4  2008  event cancelled - replaced by central europe rally  event cancelled - replaced by central europe rally  event cancelled - replaced by central europe rally  event cancelled - replaced by central europe rally
5  2009                                                 car                                                 bmw                                                 dsq                                                   2
6  2010                                                 car                                          volkswagen                                                   2                                                   4
7  2011                                                 car                                          volkswagen                                                   1                                                   4
8  2012                                                 car                                              hummer                                                 dnf                                                   2
9  2013                                                 car                                     demon jefferies                                                 dnf                                                   3
