     res   record                  opponent                             method                                 event  round   time                                    location
0   loss  14 - 11            evgeny erokhin                        tko (knees)           pankration : mayor cup 2013      3   4:40                         khabarovsk , russia
1    win  14 - 10             seung bae whi               decision (unanimous)                            road fc 11      3   5:00                         seoul , south korea
2    win  13 - 10              denis komkin                     ko (head kick)      pankration : battle of empires 2      1   1:00                         khabarovsk , russia
3   loss  12 - 10            jan błachowicz               decision (unanimous)                                ksw 17      3   5:00                               łódź , poland
4   loss   12 - 9                ryan jimmo               decision (unanimous)                                mfc 31      5   5:00                 edmonton , alberta , canada
5    win   12 - 8              roy boughton               decision (unanimous)                 score fighting series      3   5:00              mississauga , ontario , canada
6    win   11 - 8            jan błachowicz                    tko (leg kicks)                                ksw 15      2   5:00                             warsaw , poland
7    win   10 - 8         valdas pocevičius               decision (unanimous)                   israel fc : genesis      3   5:00                           tel aviv , israel
8   loss    9 - 8        shamil abdurahimov                      tko (punches)                        adfc : round 2      3   2:17            abu dhabi , united arab emirates
9   loss    9 - 7         houston alexander                      tko (punches)  shark fights 13: jardine vs prangley      2   1:31            amarillo , texas , united states
10   win    9 - 6          joaquim ferreira                      tko (punches)                           impact fc 1      1   1:20                        brisbane , australia
11   win    8 - 6               dave herman                 dq (illegal knees)                        adfc : round 1      2  n / a                             abu dhabi , uae
12  loss    7 - 6            ikuhisa minowa                         ko (punch)                       dynamite!! 2009      3   3:29                             saitama , japan
13  loss    7 - 5            gegard mousasi                      tko (punches)         strikeforce : fedor vs rogers      2   3:43  hoffman estates , illinois , united states
14   win    7 - 4                  bob sapp                      tko (punches)                              dream 11      1   1:31                            yokohama , japan
15   win    6 - 4                jan nortje                      tko (punches)                               dream 9      1   2:30                            yokohama , japan
16  loss    5 - 4             renato sobral          submission (d'arce choke)         affliction : day of reckoning      2   2:38        anaheim , california , united states
17  loss    5 - 3                 luiz cané                      tko (punches)                                ufc 89      2   4:15                        birmingham , england
18   win    5 - 2         kazuhiro nakamura                   tko (leg injury)                                ufc 84      1   5:00          las vegas , nevada , united states
19  loss    4 - 2             lyoto machida  submission (arm - triangle choke)                                ufc 79      2   4:20          las vegas , nevada , united states
20   win    4 - 1             ricardo arona       ko (punches and soccer kick)                              pride 34      1   1:59                             saitama , japan
21   win    3 - 1  antônio rogério nogueira                         ko (punch)                              pride 33      1   0:23          las vegas , nevada , united states
22  loss    2 - 1           glover teixeira                       ko (punches)                                wec 24      1   1:41        lemoore , california , united states
23   win    2 - 0            paul weremecki        tko (head kick and punches)                       sf 17: hot zone      1   2:11           portland , oregon , united states
24   win    1 - 0              gary padilla                   decision (split)                       total combat 15      3   5:00      san diego , california , united states
