                        shooter              event              rank points             score points                    total
0               yin wen ( chn )           wcf 2007       defending champion       defending champion       defending champion
1                 du li ( chn )         og beijing    olympic gold medalist    olympic gold medalist    olympic gold medalist
2       kateřina emmons ( cze )         og beijing  olympic silver medalist  olympic silver medalist  olympic silver medalist
3      eglis yaima cruz ( cub )         og beijing  olympic bronze medalist  olympic bronze medalist  olympic bronze medalist
4   sonja pfeilschifter ( ger )           wc milan                       15                        8                       23
5         jamie beyerle ( usa )           wc milan                       10                        8                       18
6     kristina vestveit ( nor )           wc milan                        8                        9                       17
7       snježana pejčić ( cro )          wc munich                       10                        7                       17
8          morgan hicks ( usa )  wc rio de janeiro                       15                        2                       17
9        adela sykorova ( cze )          wc munich                        8                        5                       13
10      lioubov galkina ( rus )         wc beijing                        8                        4                       12
11          olga dovgun ( kaz )           wc milan                        4                        6                       10
