    year           men 's singles     women 's singles                         men 's doubles                       women 's doubles                          mixed doubles
0   1997              thomas wapp        elena nozdran        mihail popov svetoslav stojanov     elena nozdran viktoria evtuschenko         valeriy strelcov elena nozdran
1   1998      konstantin tatranov        elena nozdran        mihail popov svetoslav stojanov     elena nozdran viktoria evtuschenko               michael keck nicol pitro
2   1999        pullela gopichand  marina andrievskaya        mihail popov svetoslav stojanov                nicol pitro anika sietz               michael keck nicol pitro
3   2000             xie yangchun           xu huaiwen      vincent laigle svetoslav stoyanov             nicol pitro nicole grether            björn siegemund nicol pitro
4   2001           no competition       no competition                         no competition                         no competition                         no competition
5   2002              kasper ødum          zen yaqiong      vincent laigle svetoslav stoyanov         akiko nakashima chihiro ohsaka              jonas jensen majken vange
6   2003          nikhil kanetkar       tine rasmussen            frédéric mawet wouter claes    kamila augustyn nadieżda kostiuczyk     vladislav druzchenko elena nozdran
7   2004             chetan anand      ella karachkova             thomas sanave rupesh kumar    anastasia russkikh petya nedelcheva  svetoslav stoyanov anastasia russkikh
8   2005           no competition       no competition                         no competition                         no competition                         no competition
9   2006               ville lang      ella karachkova     alexandr nikolaenko vitalij durkin          nina vislova valeria sorokina   alexandr russkikh anastasia russkikh
10  2007         przemyslaw wacha        tracey hallam           carsten mogensen mathias boe          elin bergblom johanna persson    ingo kindervater kathrin piotrowski
11  2008  andre kurniawan tedjono           olga konon         richard eidestedt andrew ellis  shendy puspa irawati meiliana jauhari    fran kurniawan shendy puspa irawati
12  2009             rajiv ouseph           ella diehl  christopher langridge robin middleton          valeria sorokina nina vislova   robert mateusiak nadieżda kostiuczyk
13  2010                cancelled            cancelled                              cancelled                              cancelled                              cancelled
