    rank         nation  gold  silver  bronze  total
0      1  united states    10      14      12     36
1      2         russia    10       9       9     28
2      3          japan     7       6       1     14
3      4         canada     4       1       3      8
4      5          china     0       2       3      5
5      6    south korea     3       0       0      3
6      6         sweden     1       1       1      3
7      6          italy     0       2       1      3
8      7        georgia     1       0       1      2
9      7        germany     0       1       1      2
10     7        finland     0       0       2      2
11     8         france     0       0       1      1
12     8        estonia     0       0       1      1
