     rank  gold  silver  bronze  total
0       1   120     107      61    288
1       2    60      42      42    144
2       3    48      25      48    121
3       4    33      44      53    130
4       5    22      17      34     73
5       6     8      10      10     28
6       7     4       6      10     20
7       8     3       0       0      3
8       9     2       6       4     12
9      10     2       3       7     12
10     11     1       8       8     17
11     12     1       6       6     13
12     13     1       0       0      1
13     14     0       6       5     11
14     15     0       5      17     22
15     16     0       3       3      6
16     17     0       2       1      3
17     18     0       1       3      4
18     19     0       0       0      0
19  total   305     291     312    908
