  rank      nation  gold  silver  bronze  total
0    1      france     7       3       4     14
1    2       italy     5       2       5     12
2    3       spain     1       2       6      9
3    4      turkey     1       1       4      5
4    5     algeria     0       2       1      3
5  6 =     tunisia     0       1       3      4
6  6 =  yugoslavia     0       1       3      4
7  8 =       egypt     0       1       0      1
8  8 =    slovenia     0       1       0      1
9   10     morocco     0       0       2      2
