     region                                         host                                   venue             city                 state
0      east                           clemson university                     littlejohn coliseum          clemson        south carolina
1      east                    university of connecticut                 harry a gampel pavilion           storrs           connecticut
2      east                 george washington university         charles e smith athletic center       washington  district of columbia
3      east  university of north carolina at chapel hill                   carmichael auditorium      chapel hill        north carolina
4      east                        vanderbilt university                      memorial gymnasium        nashville             tennessee
5      east                       university of virginia                         university hall  charlottesville              virginia
6      east                     west virginia university                            wvu coliseum       morgantown         west virginia
7      east                          university of miami                   knight sports complex     coral gables               florida
8   mideast                           providence college                             alumni hall       providence          rhode island
9   mideast                        university of alabama                        coleman coliseum       tuscaloosa               alabama
10  mideast                           rutgers university             louis brown athletic center       piscataway            new jersey
11  mideast                    louisiana tech university                  thomas assembly center           ruston             louisiana
12  mideast                            purdue university                            mackey arena   west lafayette               indiana
13  mideast        university of maryland , college park                        cole field house     college park              maryland
14  mideast                  western kentucky university                         ea diddle arena    bowling green              kentucky
15  mideast                      university of tennessee                 thompson - boling arena        knoxville             tennessee
16  midwest            university of colorado at boulder  cu events center (coors events center)          boulder              colorado
17  midwest                            depaul university                 chick evans field house           dekalb              illinois
18  midwest          southwest missouri state university                  hammons student center      springfield              missouri
19  midwest       university of california , los angeles                         pauley pavilion      los angeles            california
20  midwest                           university of iowa                  carver - hawkeye arena        iowa city               indiana
21  midwest                university of texas at austin                      frank erwin center           austin                 texas
22  midwest                    university of mississippi                      tad smith coliseum           oxford           mississippi
23  midwest                pennsylvania state university          recreation building (rec hall)  university park          pennsylvania
24     west     university of california , santa barbara          uc santa barbara events center    santa barbara            california
25     west          university of california , berkeley                              harmon gym         berkeley            california
26     west                         creighton university                  omaha civic auditorium            omaha              nebraska
27     west            university of wisconsin - madison                   wisconsin field house          madison             wisconsin
28     west            university of southern california       los angeles memorial sports arena      los angeles            california
29     west                          stanford university                         maples pavilion         stanford            california
30     west            stephen f austin state university              william r johnson coliseum      nacogdoches                 texas
31     west                        texas tech university              lubbock municipal coliseum          lubbock                 texas
