    year             organisation                                  award                nominated work title              result
0   1998              star awards                best supporting actress            new adventures of wisely           nominated
1   1998              star awards                 best variety show host                           city beat                 won
2   1998              star awards     top 10 most popular female artiste                               n / a                 won
3   1999              star awards                  best comedy performer  different cuts , different strokes           nominated
4   1999              star awards                 best variety show host                           city beat                 won
5   1999              star awards     top 10 most popular female artiste                               n / a                 won
6   2002  asian television awards           best entertainment presenter                                snap  highly recommended
7   2003  asian television awards           best entertainment presenter                             top ten                 won
8   2004  asian television awards           best entertainment presenter                              snap 3  highly recommended
9   2005  asian television awards  best comedy performance by an actress                         durian king                 won
10  2005              star awards                 best variety show host                          love bites           nominated
11  2005              star awards     top 10 most popular female artiste                               n / a           nominated
12  2006              star awards                 best variety show host                        love bites 2           nominated
13  2006              star awards     top 10 most popular female artiste                               n / a                 won
14  2007              star awards     top 10 most popular female artiste                               n / a                 won
15  2009              star awards                 best variety show host                     buzzing cashier           nominated
16  2009              star awards     top 10 most popular female artiste                               n / a           nominated
17  2010              star awards     top 10 most popular female artiste                               n / a           nominated
18  2011              star awards                 best variety show host                     love on a plate                 won
19  2011              star awards     top 10 most popular female artiste                               n / a           nominated
20  2012              star awards                 best variety show host                     chef apprentice           nominated
21  2012              star awards     top 10 most popular female artiste                               n / a                 won
22  2013              star awards                           best actress                        it takes two           nominated
23  2013              star awards                 best variety show host               jobs around the world                 won
24  2013              star awards     top 10 most popular female artiste                               n / a                 won
