   draw                 artist                      song  votes  place
0     1         slobodan river                surrounded   2080      3
1     2           ewert sundja                     dance    640      7
2     3       zone & cardinals             turn the tide    581      8
3     4               charlene          whatever you say    785      6
4     5           airi ojamets              i wanna stay    393      9
5     6  hatuna & sofia rubina             whenever blue    188     10
6     7                 maarja                     homme   1320      4
7     8               neiokõsõ                       tii   8696      1
8     9             kerli kõiv          beautiful inside   3638      2
9    10               charizma  i'll give you a mountain   1157      5
