    pick             player    position    nationality               nhl team                 college / junior / club team
0     63  frank pietrangelo  goaltender         canada    pittsburgh penguins               university of minnesota (wcha)
1     64       dave maclean  right wing         canada       hartford whalers                       belleville bulls (ohl)
2     65       mikko makela  right wing        finland     new york islanders                      ilves tampere (finland)
3     66       john bekkers      centre         canada         calgary flames                            regina pats (whl)
4     67         guy benoit      centre         canada      los angeles kings                shawinigan cataractes (qmjhl)
5     68         dave korol     defence         canada      detroit red wings                      winnipeg warriors (whl)
6     69        bob essensa  goaltender         canada          winnipeg jets                henry carr crusaders (metjhl)
7     70         tim lorenz   left wing         canada      vancouver canucks                  portland winter hawks (whl)
8     71          kevan guy     defence         canada         calgary flames                    medicine hat tigers (whl)
9     72      ron chyzowski      centre         canada       hartford whalers                      st albert saints (ajhl)
10    73    peter andersson     defence         sweden       new york rangers                              orebro (sweden)
11    74        daren puppa  goaltender         canada         buffalo sabres  kirkland lake midget all - stars (coaaamhl)
12    75       tim bergland      centre  united states    washington capitals    thief river falls high school (ushs - mn)
13    76       brian durand      centre  united states  minnesota north stars              cloquet high school (ushs - mn)
14    77      bill claviter   left wing  united states         calgary flames             virginia high school (ushs - mn)
15    78        john kordic     defence         canada     montreal canadiens                  portland winter hawks (whl)
16    79       tarek howard     defence         canada    chicago black hawks                         olds grizzlys (ajhl)
17    80       esa tikkanen   left wing        finland        edmonton oilers                      hifk helsinki (finland)
18    81     allen bourbeau      centre  united states    philadelphia flyers   acton - boxborough high school (ushs - ma)
19    82   allan larochelle  goaltender         canada          boston bruins                       saskatoon blades (whl)
