                         name   years             area         authority  decile  roll
0               aranga school   1 - 8           aranga             state       4    39
1             arapohue school   1 - 8         arapohue             state       6    16
2      dargaville high school  9 - 15       dargaville             state       3   466
3     dargaville intermediate   7 - 8       dargaville             state       3   172
4   dargaville primary school   1 - 6       dargaville             state       4   380
5         kaihu valley school   1 - 8            kaihu             state       2    21
6              kaiwaka school   1 - 6          kaiwaka             state       4    90
7      mangawhai beach school   1 - 8        mangawhai             state       6   327
8             matakohe school   1 - 8         matakohe             state       5    86
9         maungaturoto school   1 - 6     maungaturoto             state       6   212
10  otamatea christian school  1 - 15     maungaturoto           private       6    45
11       otamatea high school  7 - 13     maungaturoto             state       6   419
12             paparoa school   1 - 6          paparoa             state       4    32
13               pouto school   1 - 8  pouto peninsula             state       4    18
14             ruawai college  7 - 13           ruawai             state       5   197
15              ruawai school   1 - 6           ruawai             state       5   113
16         selwyn park school   1 - 6       dargaville             state       1   163
17          st josephs school   1 - 8       dargaville  state integrated       3    56
18        tangiteroria school   1 - 8     tangiteroria             state       5    53
19         tangowahine school   1 - 8      tangowahine             state       4    40
20           te kopuru school   1 - 8        te kopuru             state       2   171
21             tinopai school   1 - 8          tinopai             state       1    18
22   tkkm o ngaringaomatariki   1 - 8        oruawharo             state       4    32
