    rank                       title          studio         director      gross
0      1        three men and a baby      touchstone    leonard nimoy  167780960
1      2            fatal attraction       paramount      adrian lyne  156645693
2      3        beverly hills cop ii       paramount       tony scott  153665036
3      4      good morning , vietnam      touchstone   barry levinson  123922370
4      5                  moonstruck             mgm   norman jewison   80640528
5      6            the untouchables       paramount   brian de palma   76270454
6      7    the secret of my success       universal     herbert ross   66995000
7      8                    stakeout      touchstone      john badham   65673233
8      9               lethal weapon     warner bros   richard donner   65207127
9     10               dirty dancing         vestron   emile ardolino   63892689
10    11     the witches of eastwick     warner bros    george miller   63766510
11    12                    predator             fox   john mctiernan   59735548
12    13  throw momma from the train           orion     danny devito   57915972
13    14                     dragnet       universal   tom mankiewicz   57387516
14    15                     robocop           orion   paul verhoeven   53424681
15    16          outrageous fortune      touchstone    arthur hiller   52864741
16    17                    la bamba        columbia      luis valdez   52678820
17    18              broadcast news             fox   james l brooks   51300000
18    19        the living daylights  united artists        john glen   51185000
19    20            eddie murphy raw       paramount  robert townsend   50505655
