    draw            language                            artist                           song  place  points
0      1  romanian , italian                     nico and vlad         pe - o margine de lume     20      45
1      2             english                      andy abraham                        even if     25      14
2      3            albanian                         olta boka             zemrën e lamë peng     17      55
3      4             english                         no angels                      disappear     23      14
4      5  english , armenian                           sirusho        qélé , qélé (քելե քելե)      4     199
5      6             bosnian                              laka                        pokušaj     10     110
6      7    hebrew , english                       boaz ma'uda          the fire in your eyes      9     124
7      8             finnish                       teräsbetoni         missä miehet ratsastaa     22      35
8      9            croatian       kraljevi ulice and 75 cents                        romanca     21      44
9     10             english                          isis gee                       for life     24      14
10    11             english                          euroband                this is my life     14      64
11    12             turkish                      mor ve ötesi                           deli      7     138
12    13          portuguese                    vnia fernandes  senhora do mar (negras águas)     13      69
13    14             english                pirates of the sea              wolves of the sea     12      83
14    15             english                charlotte perrelli                           hero     18      47
15    16             english                      simon mathew                 all night long     15      60
16    17             english                   diana gurtskaya                peace will come     11      83
17    18             english                         ani lorak                     shady lady      2     230
18    19    english , french                 sébastien tellier                         divine     19      47
19    20             english                   elnur and samir                  day after day      8     132
20    21             english                          kalomira             secret combination      3     218
21    22   spanish , english             rodolfo chikilicuatre         baila el chiki - chiki     16      55
22    23             serbian  jelena tomašević feat bora dugić                      oro (оро)      6     160
23    24             english                        dima bilan                        believe      1     272
24    25             english             maria haukaas storeng              hold on be strong      5     182
