   rank                       song title                                     composer (s)                   performer (s)  year
0     1  all i want for christmas is you               mariah carey and walter afanasieff                    mariah carey  1994
1     2                   last christmas                                   george michael                           wham!  1984
2     3            fairytale of new york                     jem finer and shane macgowan  the pogues with kirsty maccoll  1987
3     4      do they know it™s christmas                         bob geldof and midge ure                        band aid  1984
4     5             merry xmas everybody                         noddy holder and jim lea                           slade  1973
5     6                  white christmas                                    irving berlin                 louis armstrong  1940
6     7       driving home for christmas                                        chris rea                       chris rea  1988
7     8         merry christmas everyone                                      bob heatlie                 shakin' stevens  1985
8     9               mistletoe and wine  jeremy paul , leslie stewart and keith strachan                   cliff richard  1976
9    10               walking in the air                                     howard blake                      peter auty  1982
