  rank     time                    athlete          nation              date                          race
0    1    30:21            paula radcliffe  united kingdom  23 february 2003             world 's best 10k
1    2    30:27           isabella ochichi           kenya     26 march 2005         crescent city classic
2    3    30:29            asmae leghzaoui         morocco       8 june 2002             new york mini 10k
3    4    30:32            lornah kiplagat           kenya       4 july 2002           peachtree road race
4    5    30:38            joyce chepkirui           kenya  4 september 2011                   tilburg 10k
5    6    30:39               liz mccolgan  united kingdom     11 march 1989           red lobster classic
6  7 =    30:45           lineth chepkurui           kenya      3 april 2010         crescent city classic
7  7 =  30:45 +     mary jepkosgei keitany           kenya  18 february 2011  ras al khaimah half marathon
8    9    30:47  vivian jepkemoi cheruiyot           kenya  26 february 2012             world 's best 10k
9   10    30:48     linet chepkwemoi masai           kenya      12 june 2010             new york mini 10k
