    rank               nation  gold  silver  bronze  total
0      1                 cuba    19      13      12     44
1      2               mexico    12       9       7     28
2      3              jamaica     6       9       7     22
3      4            venezuela     2       4       5     11
4      5              bahamas     2       2       3      7
5      6             barbados     1       1       1      3
6      7   dominican republic     1       0       1      2
7      7          puerto rico     1       0       1      2
8      9    us virgin islands     1       0       0      1
9      9             suriname     1       0       0      1
10    11             colombia     0       4       6     10
11    12  trinidad and tobago     0       3       0      3
12    13            guatemala     0       1       2      3
13    14          el salvador     0       0       1      1
