                         race name           circuit         date                winning driver      constructor  report
0        i gran premio di siracusa          syracuse     11 march               luigi villoresi          ferrari  report
1               xii pau grand prix               pau     26 march               luigi villoresi          ferrari  report
2              iii richmond trophy          goodwood     26 march                        b bira         maserati  report
3        vi gran premio di sanremo       ospedaletti     22 april                alberto ascari          ferrari  report
4         i grand prix de bordeaux          bordeaux     29 april                  louis rosier    talbot - lago  report
5    iii brdc international trophy       silverstone        5 may                   reg parnell          ferrari  report
6            v grand prix de paris  bois de boulogne       20 may               giuseppe farina         maserati  report
7                  v ulster trophy           dundrod       2 june               giuseppe farina       alfa romeo  report
8            i scottish grand prix          winfield      21 july  philip fotheringham - parker         maserati  report
9     ii grote prijs van nederland         zandvoort      22 july                  louis rosier    talbot - lago  report
10  xiii grand prix de l'albigeois              albi     5 august           maurice trintignant  simca - gordini  report
11          xx circuito di pescara           pescara    15 august         josé froilán gonzález          ferrari  report
12           v gran premio di bari              bari  2 september            juan manuel fangio       alfa romeo  report
