       game             date          referee           umpire     head linesman          line judge      field judge        back judge
0         v  17 january 1971   norm schachter   paul trepinski         ed marion          jack fette       fritz graf       hugh gamber
1        vi  16 january 1972       jim tunney      joe connell         al sabato           art holst      bob wortman  ralph vandenberg
2       vii  14 january 1973         tom bell      lou palazzi       tony veteri        bruce alford      tony skover      tom kelleher
3      viii  13 january 1974       ben dreith   ralph morcroft         leo miles          jack fette       fritz graf        stan javie
4        ix  12 january 1975     bernie ulman        al conway         ed marion        bruce alford      dick dolack       ray douglas
5         x  18 january 1976   norm schachter      joe connell         leo miles          jack fette     bill o'brien        stan javie
6        xi   9 january 1977       jim tunney      lou palazzi         ed marion        bill swanson    armen terzian      tom kelleher
7       xii  15 january 1978       jim tunney      joe connell       tony veteri           art holst      bob wortman       ray douglas
8      xiii  21 january 1979     pat haggerty       art demmas     jerry bergman          jack fette  fred swearingen        pat knight
9       xiv  20 january 1980       fred silva        al conway        burl toler           bob beeks   charley musser        stan javie
10       xv  25 january 1981       ben dreith  frank sinkovitz       tony veteri          tom dooley       fritz graf      tom kelleher
11      xvi  24 january 1982     pat haggerty        al conway     jerry bergman           bob beeks        don hakes      bill swanson
12     xvii  30 january 1983  jerry markbreit       art demmas        dale hamer       bill reynolds          don orr       dick hantak
13    xviii  22 january 1984       gene barth     gordon wells     jerry bergman           bob beeks       fritz graf          gil mace
14      xix  20 january 1985     pat haggerty      tom hensley         leo miles           ray dodez        bob lewis      tom kelleher
15       xx  26 january 1986      red cashion      ron botchan     dale williams          bama glass     jack vaughan           al jury
16      xxi  25 january 1987  jerry markbreit     bob boylston      terry gierke           bob beeks     pat mallette         jim poole
17     xxii  31 january 1988      bob mcelwee        al conway        dale hamer          jack fette     johnny grier           al jury
18    xxiii  22 january 1989     jerry seeman     gordon wells     jerry bergman           bob beeks    bobby skelton        paul baetz
19     xxiv  28 january 1990   dick jorgensen     hendi ancich     earnie frantz            ron blum          don orr           al jury
20      xxv  27 january 1991     jerry seeman       art demmas         sid semon       dick mckenzie     jack vaughan    banks williams
21     xxvi  26 january 1992  jerry markbreit     bob boylston     dale williams            ron blum       paul baetz     ed merrifield
22    xxvii  31 january 1993      dick hantak      ron botchan        ron phares       dick mckenzie   donnie hampton         jim poole
23   xxviii  30 january 1994      bob mcelwee       art demmas         sid semon          tom barnes          don orr           al jury
24     xxix  29 january 1995  jerry markbreit      ron botchan        ron phares          ron baynes     jack vaughan        tim millis
25      xxx  28 january 1996      red cashion        john keck      paul weidner           dale orem        don hakes        dick creed
26     xxxi  26 january 1997    gerald austin      ron botchan     earnie frantz        jeff bergman     phil luckett    scott steenson
27    xxxii  25 january 1998       ed hochuli        jim quirk     john schleyer      ben montgomery    don dorkowski        paul baetz
28   xxxiii  31 january 1999     bernie kukar    jim daopoulos    sanford rivers          ron baynes       tim millis         don hakes
29    xxxiv  30 january 2000      bob mcelwee      ron botchan     earnie frantz        byron boston          al jury        bill leavy
30     xxxv  28 january 2001    gerald austin       chad brown  tony veteri , jr       walt anderson      bill lovett      bill schmitz
31    xxxvi  3 february 2002     bernie kukar        jeff rice      mark hittner          ron phares     pete morelli       scott green
32   xxxvii  26 january 2003     bill carollo       ed coukart     dale williams  mark steinkerchner    tom sifferman         don carey
33  xxxviii  1 february 2004       ed hochuli        jeff rice      mark hittner      ben montgomery    tom sifferman       scott green
34    xxxix  6 february 2005    terry mcaulay   carl paganelli    gary slaughter  mark steinkerchner    tom sifferman    tony steratore
35       xl  5 february 2006       bill leavy   garth defelice      mark hittner        mark perlman     steve zimmer      bob waggoner
36      xli  4 february 2007    tony corrente   carl paganelli    george hayward       ron marinucci     jim saracino   perry paganelli
37     xlii  3 february 2008       mike carey    tony michalek    gary slaughter        carl johnson      boris cheek   scott helverson
38    xliii  1 february 2009    terry mcaulay      roy ellison    derrick bowers        mark perlman   greg gautreaux    keith ferguson
39     xliv  7 february 2010      scott green      undrey wash      john mcgrath         jeff seeman    rob vernatchi        greg steed
40      xlv  6 february 2011    walt anderson       chad brown        kent payne         john hussey   doug rosenbaum   scott helverson
41     xlvi  5 february 2012       john parry   carl paganelli       tom stabile         gary arthur   gary cavaletto    tony steratore
42    xlvii  3 february 2013     jerome boger  darrell jenkins    steve stelljes        byron boston   craig wrolstad    dino paganelli
