    position                             artist                                     song title  highest position  points
0          1                  the kingston trio                                     tom dooley                 1     465
1          2          chris barber 's jazz band                                   petite fleur                 1     458
2          3                      cliff richard                                    living doll                 1     414
3          4                       billy vaughn                                         morgen                 2     364
4          5                     vidar sandbeck                                  pengegaloppen                 2     354
5          6                      elvis presley                       i need your love tonight                 2     304
6          7                     connie francis                                   my happiness                 2     302
7          8                         per asplin                       en glad calypso om våren                 1     299
8          9                      craig douglas                                   only sixteen                 1     271
9         10        emile ford & the checkmates  what do you want to make those eyes at me for                 1     269
10        10                      elvis presley                             a big hunk o' love                 2     269
11        12                      conway twitty                                      mona lisa                 2     262
12        13                      cliff richard                               travellin' light                 1     261
13        14                     little richard                                      baby face                 1     239
14        15  gunnar engedahl & erling stordahl                                  ungkarsvalsen                 4     216
15        16                       ricky nelson                   never be anyone else but you                 3     214
16        17                       guy mitchell                       heartaches by the number                 3     208
17        18                        ruby murray                        goodbye jimmy , goodbye                 2     186
18        19                     vidar sandbeck                          gull og grønne skoger                 4     183
19        20                  stonewall jackson                                       waterloo                 2     175
20        21                      cliff richard                                high class baby                 3     148
21        22                      elvis presley                               a fool such as i                 5     130
22        23                       ricky nelson           someday (you'll want me to want you)                 3     127
23        24                         the browns                                the three bells                 6     125
24        25                      bruno martino                                          piove                 8     122
25        26                        lloyd price                                    personality                 6     120
26        27                      conway twitty                        it 's only make believe                 2     113
27        28                     little richard               by the light of the silvery moon                 4     112
28        29  gunnar engedahl & erling stordahl                                  piken i dalen                 5     107
29        30                     shirley bassey                kiss me , honey honey , kiss me                 6     103
30        31                        bobby darin                                    dream lover                 5     100
31        32                     the fleetwoods                                        mr blue                 5      99
32        33                      cliff richard                                        move it                 5      97
33        33                    nora brockstedt                                       augustin                 5      97
34        35                       the coasters                                  charlie brown                 5      85
35        36                      cliff richard                                     never mind                 5      82
36        37                       jerry keller                              here comes summer                 8      73
37        38                     connie francis                        lipstick on your collar                 7      80
38        39                        lloyd price                                    stagger lee                 8      58
39        40                     floyd robinson                                    makin' love                 7      53
40        41                        jane morgan                         the day the rains came                 7      49
41        42                        bing crosby                                white christmas                 6      41
42        43                          paul anka                                     lonely boy                 9      36
43        44                        bobby darin                                 mack the knife                 9      34
44        45                          pat boone                          i'll remember tonight                 9      23
45        46                          sam cooke                                   only sixteen                10      22
46        47                      bruno martino                                     come prima                 9      12
47        48              lord rockingham 's xi                                      hoots mon                10      11
