                                    number & name                                   description                                          livery                                     owner (s)                                          date
0                                     operational                                   operational                                     operational                                   operational                                   operational
1                         no d2158 margaret - ann             british rail class 03 0 - 6 - 0dm                     br blue with the late crest                     great central railway plc                                          1960
2                                        no d3101             british rail class 08 0 - 6 - 0de  br green with wasp stripes and the early crest                                 private owner                                          1955
3                                        no 13180             british rail class 08 0 - 6 - 0de                   br green with the early crest                                 private owner                                          1955
4                                        no 08220             british rail class 08 0 - 6 - 0de                                    br rail blue                 english electric preservation                                          1956
5                                        no 08694             british rail class 08 0 - 6 - 0de                                  ews red & gold                                 private owner                                          1959
6  no 10119 margaret ethel - thomas alfred naylor             british rail class 10 0 - 6 - 0de                                    br rail blue                                 private owner                                          1961
7    undergoing overhaul , restoration or repairs  undergoing overhaul , restoration or repairs    undergoing overhaul , restoration or repairs  undergoing overhaul , restoration or repairs  undergoing overhaul , restoration or repairs
8                                        no d2118             british rail class 03 0 - 6 - 0dm                                    br rail blue                                 private owner                                          1959
9                                        no 07005             british rail class 07 0 - 6 - 0de                                    br rail blue                                 private owner                                          1962
