     res       record            opponent                                 method                                  event  round  time                 location
0   loss  23 - 17 - 4   yasuaki kishimoto                   decision (unanimous)                    deep - osaka impact      3  5:00            osaka , japan
1   loss  23 - 16 - 4      satoru kitaoka                   decision (unanimous)                       deep - 53 impact      3  5:00            osaka , japan
2    win  23 - 15 - 4            yuki ito                   decision (unanimous)                       deep - 45 impact      3  5:00            osaka , japan
3   loss  22 - 15 - 4          ryo chonan                   decision (unanimous)                       deep - 43 impact      3  5:00            tokyo , japan
4   loss  22 - 14 - 4  koichiro matsumoto                   decision (unanimous)                       deep - 40 impact      3  5:00            tokyo , japan
5    win  22 - 13 - 4        yong fun lee                          tko (punches)                       deep - gladiator      2  2:26            tokyo , japan
6    win  21 - 13 - 4    shigetoshi iwase                   decision (unanimous)                       deep - 35 impact      2  5:00            tokyo , japan
7   loss  20 - 13 - 4      sung hwan pang                          tko (punches)                       deep - 33 impact      2  1:15            tokyo , japan
8   draw  20 - 12 - 4       kiuma kunioku                                   draw                       deep - 30 impact      3  5:00            osaka , japan
9   loss  20 - 12 - 3   hidehiko hasegawa                    decision (majority)                       deep - 28 impact      3  5:00            tokyo , japan
10  loss  20 - 11 - 3   fabricio monteiro                   decision (unanimous)                       deep - 26 impact      3  5:00            tokyo , japan
11   win  20 - 10 - 3       kousei kubota                     tko (soccer kicks)                     deep - 25th impact      2  2:08            tokyo , japan
12   win  19 - 10 - 3      seichi ikemoto                    decision (majority)                real rhythm - 3rd stage      3  5:00            osaka , japan
13  draw  18 - 10 - 3         won jin eoh                                   draw                     deep - 20th impact      3  5:00            tokyo , japan
14  loss  18 - 10 - 2      marcus aurãlio                   decision (unanimous)                        pride bushido 8      2  5:00           nagoya , japan
15   win   18 - 9 - 2      kyosuke sasaki                   decision (unanimous)                real rhythm - 1st stage      3  5:00            osaka , japan
16   win   16 - 9 - 2    daisuke nakamura                          tko (punches)                     deep - 16th impact      3  3:16            tokyo , japan
17   win   17 - 9 - 2         shinya aoki                             ko (punch)                     deep - 16th impact      1  4:29            tokyo , japan
18   win   15 - 9 - 2          kenji arai            submission (triangle choke)                     deep - 15th impact      1  4:04            tokyo , japan
19  loss   14 - 9 - 2       akira kikuchi                    decision (majority)   shooto 2004 - 5 / 3 in korakuen hall      3  5:00            tokyo , japan
20   win   14 - 8 - 2       sauli heilimo    submission (reverse triangle choke)  shooto 2003 - 7 / 13 in korakuen hall      2  0:39            tokyo , japan
21   win   13 - 8 - 2     deshaun johnson                   submission (keylock)                  sb 27 - superbrawl 27      1  4:53   hawaii , united states
22  loss   12 - 8 - 2          sean sherk                   decision (unanimous)                                 ufc 36      3  5:00   nevada , united states
23   win   12 - 7 - 2         takuya wada            submission (triangle choke)          shooto - to the top final act      1  4:07            tokyo , japan
24   win   11 - 7 - 2        tony desouza                             ko (punch)                                 ufc 33      2  0:15   nevada , united states
25   win   10 - 7 - 2       laverne clark  technical submission (triangle choke)                   hooknshoot - masters      3  3:50  indiana , united states
26   win    9 - 7 - 2        thomas denny      submission (front strangle choke)                  shooto - to the top 2      3  3:09            tokyo , japan
27  draw    8 - 7 - 2        steve berger                                   draw                    hooknshoot - fusion      3  5:00  indiana , united states
28  loss    8 - 7 - 1         dan gilbert                           tko (doctor)                        shooto - read 8      3  4:02            osaka , japan
29  loss    8 - 6 - 1          ray cooper                   decision (unanimous)                        shooto - read 1      3  5:00            tokyo , japan
30   win    8 - 5 - 1      rafles la rose            submission (triangle choke)                     shooto - renaxis 5      1  2:17            osaka , japan
31  loss    7 - 5 - 1          dave menne                   decision (unanimous)                  sb 13 - superbrawl 13      3  5:00   hawaii , united states
32  loss    7 - 4 - 1        tetsuji kato                   decision (unanimous)        shooto - 10th anniversary event      3  5:00         yokohama , japan
33   win    7 - 3 - 1        pat miletich  technical submission (triangle choke)                  sb 11 - superbrawl 11      1  9:22   hawaii , united states
34   win    6 - 3 - 1      kohichi tanaka            submission (triangle choke)              shooto - shooter 's dream      1  3:56            tokyo , japan
35  loss    5 - 3 - 1      hayato sakurai                   decision (unanimous)          shooto - las grandes viajes 3      3  5:00            tokyo , japan
36   win    5 - 2 - 1        jay r palmer          submission (rear naked choke)          shooto - las grandes viajes 1      1  3:51            tokyo , japan
37   win    4 - 2 - 1        steve nelson            submission (triangle choke)        vtj 1997 - vale tudo japan 1997      2  5:31            tokyo , japan
38   win    3 - 2 - 1        tetsuji kato                    submission (armbar)                 shooto - reconquista 3      3  4:56            tokyo , japan
39  draw    2 - 2 - 1        akihiro gono                                   draw                           shooto - gig      3  5:00            tokyo , japan
40  loss        2 - 2     susumu yamasaki                    decision (majority)                     daidojuku - wars 4      3  3:00            tokyo , japan
41  loss        2 - 1           alex cook          submission (rear naked choke)               shooto - let 's get lost      2  1:50            tokyo , japan
42   win        2 - 0        naoto kojima          submission (rear naked choke)          shooto - vale tudo junction 2      2  1:42            tokyo , japan
43   win        1 - 0      yasunori okuda                          tko (punches)          shooto - vale tudo junction 1      1  1:18            tokyo , japan
