     rank          nation  gold  silver  bronze  total
0       1           japan     8       0       5     13
1       2     south korea     2       6       4     12
2       3            iran     2       4       1      7
3       4      uzbekistan     1       2       3      6
4       5      kazakhstan     1       1       4      6
5       6     north korea     1       1       3      5
6       7           china     1       0       2      3
7       8        mongolia     0       2       8     10
8       9  chinese taipei     0       0       1      1
9       9         lebanon     0       0       1      1
10  total           total    16      16      32     64
