    position                  team  played  drawn  lost  goals for  goals against  goal average 1  points 2
0          1         boston united      46     16     3         88             34            2.59        70
1          2           scarborough      46      9    11         72             39            1.85        61
2          3        wigan athletic      46     14     9         69             38            1.82        60
3          4            altrincham      46     16     8         75             55            1.36        60
4          5  bradford park avenue      46     17    10         63             50            1.26        56
5          6      stafford rangers      46     11    15         63             46            1.37        51
6          7  gainsborough trinity      46     13    15         70             50            1.40        49
7          8    northwich victoria      46     15    14         74             62            1.19        49
8          9           netherfield      46      9    17         68             65            1.05        49
9         10     macclesfield town      46     16    14         58             47            1.23        48
10        11   ellesmere port town      46     11    17         52             56            0.93        47
11        12   skelmersdale united      46     16    15         58             59            0.98        46
12        13           bangor city      46     13    17         70             60            1.17        45
13        14               mossley      46     11    18         70             73            0.96        45
14        15             morecambe      46     11    18         62             70            0.89        45
15        16         great harwood      46     15    17         63             74            0.85        43
16        17       south liverpool      46     19    15         47             57            0.82        43
17        18               runcorn      46     12    19         75             78            0.96        42
18        19            goole town      46     13    20         64             73            0.88        39
19        20         south shields      46      4    25         64             81            0.79        38
20        21          matlock town      46     11    24         42             80            0.53        33
21        22        lancaster city      46     11    25         53             78            0.68        31
22        23                barrow      46      6    28         52            101            0.51        30
23        24             fleetwood      46     15    26         31             77            0.40        25
