             election                          1st member               1st party                    2nd member               2nd party
0  1832 , 21 december             sir berkeley guise , bt                    whig  hon henry reynolds - moreton                    whig
1     1834 , 7 august  sir christopher william codrington                    tory  hon henry reynolds - moreton                    whig
2   1835 , 10 january  sir christopher william codrington            conservative          hon augustus moreton                    whig
3       1841 , 5 july  sir christopher william codrington            conservative         hon francis charteris            conservative
4  1847 , 27 february  sir christopher william codrington            conservative     the marquess of worcester            conservative
5    1854 , 9 january  sir christopher william codrington            conservative  sir michael hicks beach , bt            conservative
6  1854 , 19 december  sir christopher william codrington            conservative        robert stayner holford            conservative
7      1864 , 12 july        sir michael hicks beach , bt            conservative        robert stayner holford            conservative
8     1872 , 11 march        sir michael hicks beach , bt            conservative           john reginald yorke            conservative
9                1885              constituency abolished  constituency abolished        constituency abolished  constituency abolished
