     res record              opponent                         method                              event  round  time                                       location
0   loss  6 - 5           ryan thomas            submission (armbar)       xfc 21: night of champions 2      1  2:34          nashville , tennessee , united states
1    win  6 - 4        darryl madison    submission (anaconda choke)             complete devastation 5      1  1:11         altoona , pennsylvania , united states
2    win  5 - 4         charlie rader       submission (brabo choke)                    xfc 15: tribute      1  3:58                tampa , florida , united states
3   loss  4 - 4        rob mccullough           decision (unanimous)              tachi palace fights 6      3  5:00           lemoore , california , united states
4    win  4 - 3              kit cope    submission (triangle choke)      raging wolf 8: cage supremacy      1  2:30           salamanca , new york , united states
5   loss  3 - 3            mark holst            submission (kimura)                  xkl : evolution 1      2  4:06           ypsilanti , michigan , united states
6    win  3 - 2  jason trzewieczynski           decision (unanimous)  raging wolf 6: mayhem in the mist      3  5:00             niagara , new york , united states
7   loss  2 - 2            dale hartt               tko (broken leg)         ufc : fight for the troops      2  0:20  fayetteville , north carolina , united states
8   loss  2 - 1       justin buchholz  submission (rear naked choke)                             ufc 86      2  3:57             las vegas , nevada , united states
9    win  2 - 0             joe veres                  tko (punches)                 ufc fight night 12      2  0:37             las vegas , nevada , united states
10   win  1 - 0          stryder fann                  tko (punches)                kickdown classic 31      1  0:34               casper , wyoming , united states
