    series  season                    title         director                       writer (s)          nbc airdate  code
0       23       1                  phoenix  michael robison                      carl binder       july 13 , 2001   201
1       24       2                one of us  michael robison  melissa r byer , treena hancock       july 20 , 2001   205
2       25       3            pure of heart   rick stevenson                barbara covington       july 27 , 2001   204
3       26       4                condemned  michael robison       dawn ritchie , carl binder      august 3 , 2001   207
4       27       5               lost souls   richard martin  melissa r byer , treena hancock   september 4 , 2001   210
5       28       6                    spike   rick stevenson                     eric tuchman  september 18 , 2001   202
6       29       7          child of wonder    ken jubenvill                     eric tuchman     october 2 , 2001   206
7       30       8                       29    ken jubenvill             deborah starr seibel     october 9 , 2001   208
8       31       9           love 's divine   scott williams                      john mandel    october 16 , 2001   209
9       32      10          the big picture    ken jubenvill                    philip gerson    november 6 , 2001   211
10      33      11  a time to every purpose      gil shilton                barbara covington   november 13 , 2001   212
11      34      12      doctor in the house      brad turner                    philip gerson   november 27 , 2001   203
12      35      13           the last dance    ken jubenvill                     dan d'amelio   december 11 , 2001   213
13      36      14              free spirit     eric tuchman                    ken jubenvill    january 15 , 2002   214
14      37      15            spark of life   rick stevenson  melissa r byer , treena hancock    january 22 , 2002   220
15      38      16        face in the crowd        m robison                barbara covington    february 5 , 2002   222
16      39      17             logan miller   richard martin                barbara covington   february 26 , 2002   217
17      40      18          friends in need    ken jubenvill                     eric tuchman      march 19 , 2002   218
18      41      19             a man of god      brad turner                      carl binder      march 26 , 2002   219
19      42      20                     muti  michael robison  treena hancock , melissa r byer      april 30 , 2002   215
20      43      21                   listen   scott williams             deborah starr seibel         may 7 , 2002   221
