            character          position                actor              first episode            final episode  episodes credited
0       horatio caine    csi lieutenant         david caruso           golden parachute            habeas corpse                232
1   calleigh duquesne     csi detective        emily procter           golden parachute            habeas corpse                232
2          eric delko     csi detective       adam rodriguez           golden parachute            habeas corpse                221
3         frank tripp     detective sgt             rex linn  evidence of things unseen            habeas corpse                187
4          ryan wolfe     csi detective        jonathan togo        under the influence            habeas corpse                182
5   natalia boa vista     csi detective            eva larue             from the grave            habeas corpse                153
6         alexx woods  medical examiner     khandi alexander           golden parachute                 bad seed                145
7      walter simmons     csi detective          omar miller                bolt action            habeas corpse                 63
8        yelina salas         detective          sofia milos                 simple man               seeing red                 60
9         tim speedle     csi detective        rory cochrane           golden parachute  bang , bang , your debt                 50
10      jesse cardoza     csi detective        eddie cibrian                out of time                   fallen                 25
11         tara price  medical examiner  megalyn echikunwoke     won't get fueled again                dissolved                 23
12       megan donner    csi lieutenant          kim delaney           golden parachute          a horrible mind                 10
