                   award  year                 category                             work     result
0          contigo award  2001             best actress                        the clone  nominated
1          contigo award  2001     best romantic couple                          o clone        won
2          contigo award  2002             best actress         the house of seven women  nominated
3          contigo award  2004             best actress                 the color of sin  nominated
4          contigo award  2008             best actress                    three sisters  nominated
5   contigo cinema award  2009  best supporting actress                         budapest  nominated
6             inte award  2001             best actress                        the clone        won
7             inte award  2003             best actress  mary , mother of the son of god        won
8         internet award  2001             best actress                        the clone        won
9             nick award  2001        favourite actress                        the clone        won
10           press award  2000         best new actress                      family ties        won
11       qualidade award  2000         best new actress                      family ties        won
12       qualidade award  2001  best television actress                        the clone        won
13        tv press award  2000             best actress                      family ties        won
