   pos  car           driver       make                        team
0    1   23    johnny benson     toyota           bill davis racing
1    2   33     ron hornaday  chevrolet  kevin harvick incorporated
2    3   99     erik darnell       ford         roush fenway racing
3    4   88     matt crafton  chevrolet            thorsport racing
4    5   13    shelby howard  chevrolet            thorsport racing
5    6   10  brendan gaughan       ford           circle bar racing
6    7    7         t j bell  chevrolet          the racer 's group
7    8   51       kyle busch     toyota    billy ballew motorsports
8    9   71        donny lia  chevrolet          the racer 's group
9   10    5     mike skinner  chevrolet             mrd motorsports
