    year                                      game                                         genre                              platform (s)             developer (s)
0   2002                             metroid prime         ( first - person ) action - adventure                                  gamecube  retro studios , nintendo
1   2003      the legend of zelda : the wind waker                            action - adventure                                  gamecube                  nintendo
2   2004                         world of warcraft                                        mmorpg                        windows , mac os x                  blizzard
3   2005                           resident evil 4  survival horror : ( third - person ) shooter  gamecube , playstation 2 , wii , windows                    capcom
4   2006                              gears of war                              tactical shooter                        xbox 360 , windows                epic games
5   2007                        super mario galaxy                                    platformer                                       wii                  nintendo
6   2008  metal gear solid 4: guns of the patriots                                stealth action                             playstation 3        kojima productions
7   2009                            demon 's souls                     action rpg : hack & slash                             playstation 3             from software
8   2010                       red dead redemption       open world : ( third - person ) shooter                  playstation 3 , xbox 360            rockstar games
9   2011              the elder scrolls v : skyrim                           role - playing game        windows , playstation 3 , xbox 360     bethesda game studios
10  2012                                   journey                                     adventure                             playstation 3           thatgamecompany
