                                                model    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011
0                                       seat marbella    2337       -       -       -       -       -       -       -       -       -       -       -       -       -
1                                          seat arosa   38338   46410   28403   22980   19627   13814    9368       -       -       -       -       -       -       -
2                                            seat mii       -       -       -       -       -       -       -       -       -       -       -       -       -     990
3          seat ibiza / seat ibiza sc / seat ibiza st  180775  194245  199279  188427  197311  220497  183754  168645  183848  172206  192470  173715  189083  191183
4                                           seat inca   17226   19221   16328   15207   11802    7982       -       -       -       -       -       -       -       -
5                                     seat inca kombi    7708    8573    5534    5316    3879    2150       -       -       -       -       -       -       -       -
6                   seat córdoba / seat córdoba vario  108749  111894   97685   78770   58646   59348   46821   37568   31058   29747   20439    4861       -       -
7                                           seat león       -    6080   93123   91939   93606   96536   90850   98130  126511  120630   96761   66368   79462   80736
8   seat altea / seat altea xl / seat altea freetrack       -       -       -       -       -       -   67125   65174   58288   71377   54770   32791   43351   42329
9                                         seat toledo   42325  105818   59480   47645   39503   36026   38962   20600    8613    4744    5484     571       -       -
10                           seat exeo / seat exeo st       -       -       -       -       -       -       -       -       -       -     369   22981   23108   19559
11                                      seat alhambra   21300   27440   23924   26524   26308   23693   21580   14902   14352   14242   10282    6215   10023   18139
12                     total annual production annual  418758  519681  523756  476808  450682  460046  458460  405019  422670  412946  380575  307502  349000  353936
