     rank                nation  gold  silver  bronze  total
0       1   united states (usa)    17      14      13     44
1       2           china (chn)    13      22      17     52
2       3         ukraine (ukr)    13      10      20     43
3       4   great britain (gbr)    11      12      18     41
4       5          russia (rus)    11       9       7     27
5       6           spain (esp)    10      12       9     31
6       7       australia (aus)     9      11       9     29
7       8          brazil (bra)     8       7       4     19
8       9    south africa (rsa)     8       0       1      9
9      10          canada (can)     7       7       9     23
10     11          mexico (mex)     5       1       2      8
11     12          greece (gre)     4       5       3     12
12     13     new zealand (nzl)     4       2       0      6
13     14         belarus (blr)     3       2       1      6
14     15          poland (pol)     2       5       3     10
15     16          france (fra)     2       4       0      6
16     17     netherlands (ned)     2       2       2      6
17     18  czech republic (cze)     2       1       4      7
18     19          sweden (swe)     2       0       1      3
19     20         germany (ger)     1       3       5      9
20     21           japan (jpn)     1       2       2      5
21     22           italy (ita)     1       2       0      3
22     23       singapore (sin)     1       1       0      2
23     24         hungary (hun)     1       0       4      5
24     25          cyprus (cyp)     1       0       1      2
25     25         denmark (den)     1       0       1      2
26     25          norway (nor)     1       0       1      2
27     28          israel (isr)     0       3       0      3
28     29     south korea (kor)     0       1       1      2
29     30         ireland (irl)     0       1       0      1
30     31       argentina (arg)     0       0       1      1
31     31        colombia (col)     0       0       1      1
32     31         estonia (est)     0       0       1      1
33     31        portugal (por)     0       0       1      1
34  total                 total   141     139     142    422
