     res  record          opponent                                  method                                       event  round  time                                 location
0   loss  11 - 5  rafael dos anjos                    decision (unanimous)                                     ufc 154      3  5:00               montreal , quebec , canada
1    win  11 - 4      john alessio                    decision (unanimous)                                     ufc 145      3  5:00        atlanta , georgia , united states
2    win  10 - 4         nik lentz                    decision (unanimous)                                     ufc 140      3  5:00               toronto , ontario , canada
3   loss   9 - 4  benson henderson                    decision (unanimous)                                     ufc 129      3  5:00               toronto , ontario , canada
4    win   9 - 3   dustin hazelett             submission (triangle choke)                                     ufc 124      1  2:33               montreal , quebec , canada
5   loss   8 - 3        jim miller                    decision (unanimous)                                     ufc 111      3  5:00      newark , new jersey , united states
6    win   8 - 2       joe brammer  submission (standing rear naked choke)  the ultimate fighter : heavyweights finale      1  3:36       las vegas , nevada , united states
7    win   7 - 2  david bielkheden           submission (rear naked choke)                                      ufc 97      1  4:57               montreal , quebec , canada
8    win   6 - 2    alvin robinson           submission (rear naked choke)                                      ufc 91      3  3:16       las vegas , nevada , united states
9   loss   5 - 2        mac danzig           submission (rear naked choke)                                      ufc 83      3  3:48               montreal , quebec , canada
10   win   5 - 1        doug evans                    decision (unanimous)                                      ufc 79      3  5:00       las vegas , nevada , united states
11  loss   4 - 1     frankie edgar                           tko (punches)                                      ufc 73      1  4:55  sacramento , california , united states
12   win   4 - 0      garret davis           submission (rear naked choke)                        kotc : capital chaos      1  2:35                   hull , quebec , canada
13   win   3 - 0       john mahlow                     submission (armbar)                        kotc : freedom fight      1  4:09               gatineau , quebec , canada
14   win   2 - 0   kevin manderson           submission (rear naked choke)                 apex : a night of champions      1  1:25               gatineau , quebec , canada
15   win   1 - 0    mark colangelo                            tko (injury)                         tko 15: unstoppable      1  5:00               montreal , quebec , canada
