     rank         nation  gold  silver  bronze  total
0       1   soviet union     9       5       2     16
1       2        hungary     4       1       0      5
2       3       bulgaria     2       2       3      7
3       4          japan     2       2       1      5
4       5  united states     1       5       4     10
5       6        romania     1       0       2      3
6       7         poland     1       0       1      2
7       7         sweden     1       0       1      2
8       9   east germany     0       2       2      4
9      10   west germany     0       1       3      4
10     11     yugoslavia     0       1       0      1
11     12          italy     0       0       1      1
12  total          total    21      19      20     60
