         outcome                date                             tournament     surface             partner                        opponents in the final             score in the final
0   runner - ups   november 4 , 1988        melbourne , australia itf 10000        hard    kristin godridge  natalia leipus bernadette randall - marshall  4 - 6 , 7 - 6 (7 - 5) , 2 - 6
1        winners      april 9 , 1989                 bari , italy itf 10000        clay      marion maruska           andrea noszály eva maria schuerhoff                          w / o
2        winners      june 14 , 1992               modena , italy itf 25000        clay   ruxandra dragomir               alexandra fusai nathalie tschan          6 - 3 , 7 - 6 (7 - 5)
3   runner - ups     august 4 , 1992          vaihingen , germany itf 25000        clay    joannette kruger               eva martincová pavlína rajzlová                  4 - 6 , 0 - 6
4   runner - ups  november 15 , 1992  manchester , united kingdom itf 25000  carpet (i)     nathalie tschan              elena likhovtseva elena makarova                  3 - 6 , 4 - 6
5        winners  november 22 , 1992  nottingham , united kingdom itf 25000  carpet (i)         els callens               ruxandra dragomir irina spîrlea          7 - 6 (7 - 3) , 6 - 4
6        winners     april 11 , 1993             limoges , france itf 25000  carpet (i)  silvia farina elia                stephanie reece danielle scott  6 - 2 , 6 - 7 (5 - 7) , 6 - 2
7        winners     april 11 , 1993            poitiers , france itf 25000        hard         olga lugina                       els callens nancy feber          6 - 4 , 3 - 6 , 6 - 3
8        winners  december 11 , 1994    cergy - pontoise , france itf 50000    hard (i)   angelique olivier              kateřina šišková eva melicharová                  6 - 1 , 6 - 4
9        winners   october 29 , 1995          lakeland , fl , usa itf 50000        hard      eva martincová                   sandra cacic tracey rodgers          1 - 6 , 6 - 2 , 6 - 1
10  runner - ups   december 3 , 1995             limoges , france itf 50000        hard      eva martincová                eva melicharová helena vildová          3 - 6 , 6 - 0 , 4 - 6
11       winners   october 29 , 1997           makarska , croatia itf 75000        clay         olga lugina        maria goloviznina evgenia kulikovskaya          5 - 7 , 7 - 5 , 7 - 5
12  runner - ups     april 26 , 1998   prostějov , czech republic itf 75000        clay         olga lugina                lenka cenková kateřina šišková          4 - 6 , 6 - 4 , 4 - 6
