    season              team  wins  losses  draws
0   season              team  wins  losses  draws
1     1865         yorkshire     0       6      2
2     1871            surrey     0       9      4
3     1877            sussex     0       7      1
4     1886        derbyshire     0       8      1
5     1897        derbyshire     0       9      7
6     1900         hampshire     0      16      6
7     1901        derbyshire     0      13      7
8     1910          somerset     0      15      3
9     1924        derbyshire     0      13     11
10    1928    worcestershire     0      19     11
11    1936  northamptonshire     0       9     15
12    1937  northamptonshire     0      16      8
13    1938  northamptonshire     0      17      7
14    1967   nottinghamshire     0       4     24
15    1979         glamorgan     0      10     11
16    1982      warwickshire     0       8     14
17    1996            durham     0      12      5
18    2008            surrey     0       5     10
19    2008   gloucestershire     0       5     11
20    2009    worcestershire     0      10      6
