       season     premier division        division one                   division two         division three
0   2002 - 03   wellington rangers  hereford lads club  ross united services reserves      widemarsh rangers
1   2003 - 04   wellington rangers             tupsley       wellington rangers colts                bulmers
2   2004 - 05         ewyas harold     bringsty sports               skenfrith united            stoke prior
3   2005 - 06         ewyas harold     colwall rangers             ross town reserves      fownhope reserves
4   2006 - 07   wellington rangers   widemarsh rangers              fownhope reserves             bartonsham
5   2007 - 08           woofferton           ross town       hereford lads club colts   hampton park rangers
6   2008 - 09  westfields reserves          holme lacy                   leintwardine        hinton reserves
7   2009 - 10      leominster town        leintwardine               kingstone rovers       ledbury town 'a'
8   2010 - 11  westfields reserves     mercia athletic                  orleton colts                 sinkum
9   2011 - 12         ledbury town              sinkum                    dore valley  leominster town colts
10  2012 - 13  wellington reserves             weobley               woofferton colts               bromyard
