   pick    round            player          position            school
0     6  round 1        eric curry     defensive end           alabama
1    34  round 2  demetrius dubose        linebacker        notre dame
2    60  round 3      lamar thomas     wide receiver             miami
3    82  round 3        john lynch    defensive back          stanford
4    91  round 4       rudy harris      running back           clemson
5   104  round 4   horace copeland     wide receiver             miami
6   145  round 6     chidi ahanotu  defensive tackle        california
7   176  round 7       tyree davis     wide receiver  central arkansas
8   220  round 8    darrick branch     wide receiver            hawaii
9   224  round 8      daron alcorn            kicker             akron
