           year                          driver         constructor           location    report
0          1998              michael schumacher             ferrari   buenos aires no6    report
1          1997              jacques villeneuve  williams - renault   buenos aires no6    report
2          1996                      damon hill  williams - renault   buenos aires no6    report
3          1995                      damon hill  williams - renault   buenos aires no6    report
4   1994 - 1982                        not held            not held           not held  not held
5          1981                   nelson piquet      brabham - ford  buenos aires no15    report
6          1980                      alan jones     williams - ford  buenos aires no15    report
7          1979                 jacques laffite       ligier - ford  buenos aires no15    report
8          1978                  mario andretti        lotus - ford  buenos aires no15    report
9          1977                  jody scheckter         wolf - ford  buenos aires no15    report
10         1976                        not held            not held           not held  not held
11         1975              emerson fittipaldi      mclaren - ford  buenos aires no15    report
12         1974                     denny hulme      mclaren - ford  buenos aires no15    report
13         1973              emerson fittipaldi        lotus - ford   buenos aires no9    report
14         1972                  jackie stewart      tyrrell - ford   buenos aires no9    report
15         1971                      chris amon               matra   buenos aires no9    report
16  1970 - 1961                        not held            not held           not held  not held
17         1960                   bruce mclaren     cooper - climax   buenos aires no2    report
18         1959                        not held            not held           not held  not held
19         1958                   stirling moss     cooper - climax   buenos aires no2    report
20         1957              juan manuel fangio            maserati   buenos aires no2    report
21         1956  luigi musso juan manuel fangio             ferrari   buenos aires no2    report
22         1955              juan manuel fangio            mercedes   buenos aires no2    report
23         1954              juan manuel fangio            maserati   buenos aires no2    report
24         1953                  alberto ascari             ferrari   buenos aires no2    report
