               rank                nation  gold  silver  bronze  total
0                 1          canada (can)    14       7       5     26
1                 2         germany (ger)    10      13       7     30
2                 3   united states (usa)     9      15      13     37
3                 4          norway (nor)     9       8       6     23
4                 5     south korea (kor)     6       6       2     14
5                 6     switzerland (sui)     6       0       3      9
6                 7           china (chn)     5       2       4     11
7                 7          sweden (swe)     5       2       4     11
8                 9         austria (aut)     4       6       6     16
9                10     netherlands (ned)     4       1       3      8
10               11          russia (rus)     3       5       7     15
11               12          france (fra)     2       3       6     11
12               13       australia (aus)     2       1       0      3
13               14  czech republic (cze)     2       0       4      6
14               15          poland (pol)     1       3       2      6
15               16           italy (ita)     1       1       3      5
16               17         belarus (blr)     1       1       1      3
17               17        slovakia (svk)     1       1       1      3
18               19   great britain (gbr)     1       0       0      1
19               20           japan (jpn)     0       3       2      5
20               21         croatia (cro)     0       2       1      3
21               21        slovenia (slo)     0       2       1      3
22               23          latvia (lat)     0       2       0      2
23               24         finland (fin)     0       1       4      5
24               25         estonia (est)     0       1       0      1
25               25      kazakhstan (kaz)     0       1       0      1
26  total (26 nocs)       total (26 nocs)    86      87      85    258
