    year                              play                     role                          theatre                     location
0   1940                            liliom                    julie    forty - fourth street theater     new york city , new york
1   1941                     anna christie      anna christopherson                   lobero theatre   santa barbara , california
2   1946                  joan of lorraine  joan of arc / mary grey                    alvin theater     new york city , new york
3   1953          joan of arc at the stake              joan of arc            san carlo opera house               naples , italy
4   1956                  tea and sympathy           laura reynolds                  thétre de paris               paris , france
5   1962                      hedda gabler             hedda gabler  thétre montparnasse gaston baty               paris , france
6   1965            a month in the country         natalia petrovna            yvonne arnaud theatre   guildford , united kingdom
7   1967             more stately mansions          deborah harford               broadhurst theatre     new york city , new york
8   1971  captain brassbound 's conversion    lady cecily waynflete                cambridge theatre      london , united kingdom
9   1972  captain brassbound 's conversion    lady cecily waynflete     opera house , kennedy center              washington , dc
10  1973                 the constant wife      constance middleton                   albery theatre      london , united kingdom
11  1975                 the constant wife      constance middleton                  shubert theatre     new york city , new york
12  1977                waters of the moon          helen lancaster                 festival theatre  chichester , united kingdom
13  1978                waters of the moon          helen lancaster                haymarket theatre      london , united kingdom
