   round  pick  overall              name          position                college
0      1     1        1       andrew luck       quarterback               stanford
1      2     2       34      coby fleener         tight end               stanford
2      3     1       64      dwayne allen         tight end                clemson
3      3    29       92        t y hilton     wide receiver  florida international
4      5     1      136      josh chapman  defensive tackle                alabama
5      5    35      170      vick ballard      running back      mississippi state
6      6    36      206     lavon brazill     wide receiver                   ohio
7      7     1      208   justin anderson             guard                georgia
8      7     7      214        tim fugger     defensive end             vanderbilt
9      7    46      253  chandler harnish       quarterback      northern illinois
