    round  pick  overall               name          position                                college
0       1    15       15     clarence ellis            safety                             notre dame
1       2    14       40       pat sullivan       quarterback                                 auburn
2       2    15       41   steve okoniewski  offensive tackle                                montana
3       2    16       42  roosevelt manning  defensive tackle  northeastern state normal school (ok)
4       3    15       67        les goodman      running back                                yankton
5       4    16       94      andrew howard  defensive tackle                              grambling
6       5     5      109       billy taylor      running back                               michigan
7       5    15      119     ralph cindrich        linebacker                             pittsburgh
8       6    10      140      mike perfetti    defensive back                              minnesota
9       6    16      146         fred riley     wide receiver                                  idaho
10      7    15      171         lance moon      running back                              wisconsin
11      8    16      198      henry brandon      running back                               southern
12      9    15      223     ray easterling            safety                               richmond
13     11    15      275      jack phillips     wide receiver                              grambling
14     12    16      302       larry mialik         tight end                              wisconsin
15     13    15      327        henry sovio         tight end                                 hawaii
16     14    16      354       tom chandler        linebacker                              minnesota
17     15    15      379      oscar jenkins    defensive back                         virginia union
18     16    16      406       larry butler        linebacker                               stanford
