    rank               nation  gold  silver  bronze  total
0      1                 cuba    27      16       8     51
1      2               mexico     6       9       6     21
2      3             colombia     3       1       7     11
3      4              bahamas     2       4       3      9
4      5          puerto rico     2       3       6     11
5      6              jamaica     1       3       3      7
6      7    us virgin islands     1       0       1      2
7      8               guyana     1       0       0      1
8      9   dominican republic     0       4       2      6
9     10  trinidad and tobago     0       2       1      3
10    10            venezuela     0       2       1      3
11    12             barbados     0       0       2      2
12    13                haiti     0       0       1      1
13    13               panama     0       0       1      1
