    rank                 title                                    studio           director  worldwide gross
0      1         jurassic park  universal studios / amblin entertainment   steven spielberg        914691118
1      2         mrs doubtfire                          20th century fox     chris columbus        441286195
2      3          the fugitive                               warner bros       andrew davis        368875760
3      4     schindler 's list                        universal pictures   steven spielberg        321306305
4      5              the firm                        paramount pictures     sydney pollack        270248367
5      6     indecent proposal                        paramount pictures        adrian lyne        266614059
6      7           cliffhanger                          tristar pictures       renny harlin        255000211
7      8  sleepless in seattle                          tristar pictures        nora ephron        227799884
8      9          philadelphia                          tristar pictures     jonathan demme        206678440
9     10     the pelican brief                               warner bros      alan j pakula        195268056
10    11   in the line of fire                         columbia pictures  wolfgang petersen        187343874
11    12         cool runnings                               buena vista     jon turteltaub        154856263
12    13            free willy                               warner bros       simon wincer        153698625
13    14             sommersby                               warner bros          jon amiel        140081992
14    15      last action hero                         columbia pictures     john mctiernan        137298489
15    16       a perfect world                               warner bros     clint eastwood        135130999
16    17  hot shots! part deux                          20th century fox       jim abrahams        133752825
17    18      beethoven 's 2nd                         universal studios         rod daniel        118243066
18    19     dennis the menace                               warner bros        nick castle        117270765
19    20                sliver                        paramount pictures      phillip noyce        116300000
