    rank          nation  gold  silver  bronze  total
0      1    soviet union    11      13      12     36
1      2    east germany    11      10       8     29
2      3   great britain     8       2       5     15
3      4        bulgaria     3       4       1      8
4      5           italy     2       6       2     10
5      6    west germany     2       4       5     11
6      7          france     1       1       2      4
7      8           spain     1       0       2      3
8      9  czechoslovakia     1       0       0      1
9      9          norway     1       0       0      1
10     9        portugal     1       0       0      1
11     9     switzerland     1       0       0      1
12    13          sweden     0       1       2      3
13    14         romania     0       1       1      2
14    15         finland     0       1       0      1
15    16     netherlands     0       0       2      2
16    17          poland     0       0       1      1
17    17           total    43      43      43    129
