                        team            truck (s)   -                                 driver (s)                                 primary sponsor (s)          owner (s)         crew chief
0     brad keselowski racing         ford f - 150  19                              ross chastain                           melon 1 / cooper standard    brad keselowski      chad kendrick
1     brad keselowski racing         ford f - 150  29                                ryan blaney                                     cooper standard    brad keselowski      doug randolph
2       chris fontaine , inc  chevrolet silverado  84                                mike harmon                                   beaver bail bonds     chris fontaine       kevin ingram
3             hillman racing  chevrolet silverado  27                                 jeff agnew                                     friends of coal       mike hillman        doug weddle
4                 jjc racing             ram 1500  10                           jennifer jo cobb                        koma unwind relaxation drink   jennifer jo cobb        dan kolanda
5     kyle busch motorsports        toyota tundra  18                               joey coulter                        gunbrokercom / darrell gwynn         kyle busch       harold holly
6     kyle busch motorsports        toyota tundra  51  kyle busch / erik jones chad hackenbracht  toyota care / toyota tastee apple / ingersoll rand         kyle busch         ryan fugle
7     kyle busch motorsports        toyota tundra  54                   darrell wallace , jr (r)                            camping world / good sam         kyle busch       jerry baxter
8        norm benning racing  chevrolet silverado  57                               norm benning                          stone mountain guns & gold       norm benning        gary ritter
9            nts motorsports  chevrolet silverado   9                          ron hornaday , jr                        smokey mountain herbal snuff        joe denette         bruce cook
10           nts motorsports  chevrolet silverado  24                       brennan newberry (r)                                           qore - 24       bob newberry       eddie pardue
11          red horse racing        toyota tundra   7                           john wes townley                                            zaxby 's        tom deloach          mike beam
12          red horse racing        toyota tundra  17                             timothy peters                                          parts plus        tom deloach       butch hylton
13          red horse racing        toyota tundra  77                        germã¡n quiroga (r)                                           otter box        tom deloach       dan stillman
14  richard childress racing  chevrolet silverado   3                                  ty dillon                          tracker boats / arctic cat  richard childress    marcus richmond
15  richard childress racing  chevrolet silverado  62                            brendan gaughan                    south point hotel , casino & spa  richard childress       shane wilson
16                rss racing  chevrolet silverado  39                                  ryan sieg                                     pull - a - part           pam sieg     kevin starland
17                rss racing  chevrolet silverado  93                                chris jones                                               n / a           pam sieg        tony wilson
18  sharp - gallagher racing  chevrolet silverado   8                                max gresham                                made in usa / amwins        eddie sharp    chris showalter
19   ss - green light racing        toyota tundra   7                                caleb roark                                front row tailgating          ken smith  daniel szymkowiak
20   ss - green light racing        toyota tundra  81                           matt kurzejewski                                       silver sevens       bobby dotter         cal boprey
21               t3r2 racing         ford f - 150  99                                bryan silas                                 bell trucks america       chris baluch      gary cogswell
22          thorsport racing        toyota tundra  88                               matt crafton                                             menards     rhonda thorson        carl joiner
23          thorsport racing        toyota tundra  98                              johnny sauter                      carolina nut co / curb records          mike curb      dennis conner
24           turn one racing  chevrolet silverado  60                           dakoda armstrong                                            winfield     vickie compton        doug george
25  turner scott motorsports  chevrolet silverado   4                             jeb burton (r)                                arrowhead cigarettes   harry scott , jr  mike hillman , jr
26  turner scott motorsports  chevrolet silverado  31                             james buescher                                               rheem       steve turner    michael shelton
