    no                           player     date of birth   batting style               bowling style     first class team
0   59             brian lara (captain)        2 may 1969   left hand bat  right arm leg break googly  trinidad and tobago
1   55                  keith arthurton  21 february 1965   left hand bat      left arm orthodox spin      leeward islands
2   66           shivnarine chanderpaul    16 august 1974   left hand bat         right arm leg break               guyana
3   86                    mervyn dillon       5 june 1974  right hand bat     right arm fast - medium  trinidad and tobago
4   50                      carl hooper  15 december 1966  right hand bat         right arm off break               guyana
5   76  ridley jacobs (wicket - keeper)  26 november 1967   left hand bat             wicket - keeper      leeward islands
6   89                        reon king    6 october 1975  right hand bat     right arm fast - medium               guyana
7   58                  clayton lambert  10 february 1962   left hand bat         right arm off break               guyana
8   85                       rawl lewis  5 september 1974  right hand bat  right arm leg break googly     windward islands
9   78                     nixon mclean      20 july 1973   left hand bat              right arm fast     windward islands
10  87                   neil mcgarrell      12 july 1972  right hand bat      left arm orthodox spin               guyana
11  51                     phil simmons     18 april 1963  right hand bat            right arm medium  trinidad and tobago
12  61                    philo wallace     2 august 1970  right hand bat            right arm medium             barbados
13  68                  stuart williams    12 august 1969  right hand bat            right arm medium      leeward islands
