    final rank  ranking round rank          nation  ranking score  round of 16
0            1                   3   united states           2000        251.0
1            2                   1     south korea           2031          NaN
2            3                   2           italy           2000        244.0
3            4                   6       australia           1994        243.0
4            5                   8        slovenia           1951        242.0
5            6                   5          sweden           1977        247.0
6            7                   4         ukraine           1972        238.0
7            8                   7         finland           1968        245.0
8            9                  10          france           1945        244.0
9           10                  15  chinese taipei           1921        243.0
10          11                   9          russia           1950        241.0
11          12                  13           china           1935        240.0
12          13                  12      kazakhstan           1935        239.0
13          14                  14           india           1928        235.0
14          15                  11          canada           1936        225.0
