                  club  played  drawn  lost  points for  points against  bonus points  points
0                 club  played  drawn  lost  points for  points against  bonus points  points
1            perpignan      26      1     5         615             374            10      92
2             toulouse      26      0     5         594             324             8      92
3             clermont      26      1     9         752             367            17      83
4      stade franã§ais      26      1     9         622             450            12      78
5             biarritz      26      0    11         516             398            11      71
6                brive      26      4     9         481             481             6      66
7              bayonne      26      2    10         475             481             6      66
8            montauban      26      2    14         485             572             9      53
9               toulon      26      2    15         409             488            11      51
10         montpellier      26      0    15         408             568             6      50
11            bourgoin      26      2    16         451             599            10      46
12             castres      26      3    16         473             537            10      44
13                 dax      26      1    18         375             632             7      37
14  mont - de - marsan      26      1    20         325             730             7      29
