    pick              player    position     nationality                 nhl team                          college / junior / club team
0    235      rick schuhwerk     defence   united states          ottawa senators             canterbury high school (hs - connecticut)
1    236        jeff salajko  goaltender          canada          san jose sharks                                    ottawa 67 's (ohl)
2    237        brett duncan     defence          canada      tampa bay lightning                            seattle thunderbirds (whl)
3    238     anatoli fedotov     defence          russia  mighty ducks of anaheim                               krylja sovetov (russia)
4    239        john demarco     defence   united states         florida panthers  archbishop williams high school (hs - massachusetts)
5    240         wes swinson     defence          canada         hartford whalers                               kitchener rangers (ohl)
6    241        oleg maltsev   left wing          russia          edmonton oilers                          chelyabinsk traktor (russia)
7    242      andrei kudinov      centre          russia         new york rangers                          chelyabinsk traktor (russia)
8    243       jordan willis  goaltender          canada             dallas stars                                  london knights (ohl)
9    244        jeff staples     defence          canada      philadelphia flyers                             brandon wheat kings (whl)
10   245     libor prochazka     defence  czech republic           st louis blues                         kladno poldi (czech republic)
11   246         chris davis  goaltender          canada           buffalo sabres                                 calgary royals (ajhl)
12   247    jimmy provencher  right wing          canada        new jersey devils                                st - jean lynx (qmjhl)
13   248   stephane larocque  right wing          canada       new york islanders                            sherbrooke faucons (qmjhl)
14   249           bill lang      centre          canada             dallas stars                           north bay centennials (ohl)
15   250       kimmo timonen     defence         finland        los angeles kings                                kalpa kuopio (finland)
16   251        marc seliger  goaltender         germany      washington capitals                        rosenheim star bulls (germany)
17   252        german titov      centre          russia           calgary flames                                   tps turku (finland)
18   253       kyle ferguson  right wing          canada      toronto maple leafs              michigan technological university (ncaa)
19   254     bert robertsson     defence          sweden        vancouver canucks                                södertälje sk (sweden)
20   255    brian larochelle  goaltender   united states       montreal canadiens        phillips - exeter academy (hs - new hampshire)
21   256       jamie kosecki  goaltender   united states        detroit red wings            berkshire high school (hs - massachusetts)
22   257         mark pivetz     defence          canada         quebec nordiques                             saskatoon titans ( sjhl )
23   258         mike mcghan   left wing          canada       chicago blackhawks                           prince albert raiders (whl)
24   259      joakim persson  goaltender          sweden            boston bruins                                  hammarby ik (sweden)
25   260  leonid toropchenko      centre          russia      pittsburgh penguins                                  cska moscow (russia)
