                           tournament                               2006                               2007                               2008                               2009                               2010                               2011                               2012
0                     australian open                                  a                                  a                                 q2                                 1r                                 4r                                 2r                                 1r
1                         french open                                  a                                  a                                 1r                                 2r                                 3r                                 3r                                 1r
2                           wimbledon                                  a                                  a                                 1r                                 1r                                 3r                                 4r                                 3r
3                             us open                                  a                                  a                                 1r                                 sf                                 4r                                 2r                                 2r
4                          win - loss                              0 - 0                              0 - 0                              0 - 3                              6 - 4                             10 - 4                              7 - 4                              3 - 4
5   wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments  wta premier mandatory tournaments
6                        indian wells                                  a                                  a                                  a                                 2r                                 4r                                 sf                                 2r
7                               miami                                  a                                  a                                  a                                 1r                                 qf                                 2r                                 4r
8                              madrid                           not held                           not held                           not held                                  a                                  a                                 1r                                 2r
9                             beijing                           not held                           not held                           not held                                  a                                 1r                                  a                                 1r
10          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments          wta premier 5 tournaments
11                              dubai                           not held                           not held                           not held                                  a                                 1r                                 3r                                np5
12                               doha                         not tier i                         not tier i                                  a                           not held                           not held                                np5                                 qf
13                               rome                                  a                                  a                                  a                                  a                                 3r                                 3r                                 1r
14                         cincinnati                           not held                           not held                           not held                                 2r                                 qf                                 2r                                 1r
15                             canada                                  a                                  a                                  a                                 1r                                 2r                                 1r                                 1r
16                              tokyo                                  a                                  a                                  a                                  a                                 1r                                  a                                 1r
17                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics                  career statistics
18                   year end ranking                                534                                221                                 69                                 16                                 23                                 26                                 23
