    rank          nation  gold  silver  bronze  total
0      1           japan     7       0       3     10
1      2     south korea     2       6       2     10
2      3           china     2       0       0      2
3      4          france     1       1       2      4
4      5         georgia     1       0       1      2
5      5      uzbekistan     1       0       1      2
6      7        mongolia     1       0       0      1
7      7      azerbaijan     1       0       0      1
8      9          russia     0       2       5      7
9     10           spain     0       2       0      2
10    11         ukraine     0       1       1      2
11    12        cameroon     0       1       0      1
12    12          serbia     0       1       0      1
13    12  chinese taipei     0       1       0      1
14    12          turkey     0       1       0      1
15    16            iran     0       0       2      2
16    16          canada     0       0       2      2
17    16           italy     0       0       2      2
18    16       lithuania     0       0       2      2
19    16         armenia     0       0       2      2
20    21         moldova     0       0       1      1
21    21      kazakhstan     0       0       1      1
22    21         germany     0       0       1      1
23    21         algeria     0       0       1      1
24    21          poland     0       0       1      1
25    21     north korea     0       0       1      1
26    21         austria     0       0       1      1
