      district               incumbent       party  first elected                             result                            candidates
0    georgia 1  charles gordon edwards  democratic           1924                       re - elected  charles gordon edwards (d) unopposed
1    georgia 2            edward e cox  democratic           1924                       re - elected            edward e cox (d) unopposed
2    georgia 3         charles r crisp  democratic           1912                       re - elected         charles r crisp (d) unopposed
3    georgia 4        william c wright  democratic           1918                       re - elected        william c wright (d) unopposed
4    georgia 5        william d upshaw  democratic           1918  lost renomination democratic hold    leslie jasper steele (d) unopposed
5    georgia 6       samuel rutherford  democratic           1924                       re - elected       samuel rutherford (d) unopposed
6    georgia 7              gordon lee  democratic           1904            retired democratic hold        malcolm c tarver (d) unopposed
7    georgia 8         charles h brand  democratic           1916                       re - elected         charles h brand (d) unopposed
8    georgia 9  thomas montgomery bell  democratic           1904                       re - elected  thomas montgomery bell (d) unopposed
9   georgia 10             carl vinson  democratic           1914                       re - elected             carl vinson (d) unopposed
10  georgia 11      william c lankford  democratic           1918                       re - elected      william c lankford (d) unopposed
