                   player  played  legs won  legs lost  100 +  140 +  180s  high checkout  3 - dart average
0           terry jenkins       1         2          6     16      7     1             40            101.84
1             phil taylor       5        50         17     84     65    11            161            100.65
2   raymond van barneveld       3        20         13     41     43     4             96             99.79
3             alan tabern       2         8          9     26     15     4            121             97.15
4            wayne mardle       2        10         10     31     12     6            119             96.65
5             wayne jones       2        10          8     28     12     5            127             96.09
6             mervyn king       3        17         15     37     32     7            118             95.31
7              james wade       4        31         28     76     49    16            167             95.24
8              andy smith       2         6          7     16     15     3            161             94.54
9              mark walsh       1         4          6     17      3     2             66             94.06
10            tony eccles       1         4          6     11      9     2             56             93.16
11          ronnie baxter       4        23         26     54     31     6            167             92.82
12            colin lloyd       3        12         12     25     19     5             72             92.49
13     michael van gerwen       1         3          6     13      5     1             60             92.10
14              john part       2        11          9     26      9     5            101             91.73
15        robert thornton       5        43         38     99     58    20            150             91.62
16          andy hamilton       2         8          8     23     11     1             44             90.78
17           andy jenkins       1         4          6     15      5     0             84             90.75
18       dennis priestley       3        17         17     48     24     6            156             90.03
19          kevin painter       2        11         11     28     17     3            105             89.02
20           peter manley       1         2          6     13      7     0            101             88.25
21  vincent van der voort       2         9          8     17     13     4            161             88.22
22               alex roy       1         5          6     15      6     2            114             87.51
23           adrian lewis       1         3          6      6      7     1            121             86.13
24            denis ovens       1         3          6     13      4     3             78             84.80
25         mark dudbridge       1         5          6     12      9     3             52             83.97
26           steve beaton       1         2          6      8      2     2            106             83.34
27            steve maish       1         3          6     13      6     0             76             81.98
28        felix mcbrearty       1         2          6      8      4     0             40             81.69
29            jamie caven       1         1          6      8      2     0             78             81.23
30          colin osborne       1         1          6      6      3     1             92             79.74
