    year  stage                   start                            finish          leader at the summit
0   2012     17  bagnères - de - luchon                        peyragudes       thomas voeckler ( fra )
1   2010     15                 pamiers            bagnères - de - luchon       thomas voeckler ( fra )
2   2008      9                toulouse           bagnères - de - bigorre        sebastian lang ( deu )
3   2006     12      bagnères de luchon                       carcassonne     michael rasmussen ( den )
4   2004     13              lannemezan                 plateau de beille      sylvain chavanel ( fra )
5   1999     15         saint - gaudens                     piau - engaly       mariano piccoli ( ita )
6   1997     10      bagnères de luchon                           andorra      laurent brochard ( fra )
7   1989     11      bagnères de luchon                           blagnac  gert - jan theunisse ( ned )
8   1984     11                     pau                     guzet - neige          théo de rooy ( ned )
9   1981      6         saint - gaudens  saint - lary soulan (pla d'adet)        bernard becaas ( fra )
10  1972      9      bagnères de luchon                         colomiers     christian raymond ( fra )
11  1968     14         la seu d'urgell                     canet - plage        franco bitossi ( ita )
12  1966     11                     pau                bagnères de luchon        joaquim galera ( esp )
13  1964     15                toulouse                bagnères de luchon        joaquim galera ( esp )
14  1963     12      bagnères de luchon                          toulouse          rik van looy ( bel )
15  1962     14      bagnères de luchon                       carcassonne       andré darrigade ( fra )
16  1961     16                toulouse                     superbagnères      imerio massignan ( ita )
17  1960     12      bagnères de luchon                          toulouse       andré darrigade ( fra )
18  1957     17      ax - les - thermes                   saint - gaudens                         group
19  1956     13      bagnères de luchon                          toulouse           bruno monti ( ita )
20  1952     17                toulouse           bagnères - de - bigorre                         group
21  1951     15      bagnères de luchon                       carcassonne            josé serra ( esp )
22  1948      8                 lourdes                          toulouse            jean robic ( fra )
23  1947     14             carcassonne                bagnères de luchon        albert bourlon ( fra )
