   round  overall           player          position            college
0      1        9     keith rivers        linebacker       southern cal
1      2       46   jerome simpson     wide receiver   coastal carolina
2      3       77         pat sims  defensive tackle             auburn
3      3       97   andre caldwell     wide receiver            florida
4      4      112  anthony collins  offensive tackle             kansas
5      5      145    jason shirley  defensive tackle       fresno state
6      6      177      corey lynch            safety  appalachian state
7      6      207      matt sherry         tight end          villanova
8      7      244     angelo craig     defensive end         cincinnati
9      7      246    mario urrutia     wide receiver         louisville
