                     tournament                         2008                         2009                         2010                         2011                         2012
0        grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments
1               australian open                            a                           lq                           2r                           1r                           lq
2                   french open                            a                           lq                           lq                           2r                           lq
3                     wimbledon                           lq                           lq                           2r                           lq                           lq
4                       us open                           lq                           2r                           lq                           2r                           lq
5                    win - loss                        0 - 0                        1 - 1                        2 - 2                        2 - 3                        0 - 0
6   atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000
7          indian wells masters                            a                            a                            a                           1r                           lq
8                 miami masters                            a                            a                           2r                           2r                           lq
9           monte carlo masters                            a                            a                            a                            a                            a
10               madrid masters                            a                            a                            a                           lq                            a
11                 rome masters                            a                            a                            a                            a                            a
12               canada masters                            a                            a                            a                           lq                            a
13           cincinnati masters                            a                            a                           lq                           1r                            a
14             shanghai masters                          nms                            a                           1r                           1r                            a
15                paris masters                            a                            a                           lq                           lq                            a
16              hamburg masters                            a                          nms                          nms                          nms                          nms
17                   win - loss                        0 - 0                        0 - 0                        1 - 2                        1 - 4                        0 - 0
18                olympic games                olympic games                olympic games                olympic games                olympic games                olympic games
19              summer olympics                            a                     not held                     not held                     not held                            a
20            career statistics            career statistics            career statistics            career statistics            career statistics            career statistics
21              titles - finals                        0 - 0                        0 - 0                        0 - 0                        0 - 0                        0 - 0
22             year end ranking                          215                          155                           90                          111                          215
