       date                          course  distance                     type                      winner
0    23 may   porto azzurro to portoferraio         -  stage with mountain (s)     moreno argentin ( ita )
1    23 may                    portoferraio         -    individual time trial  maurizio fondriest ( ita )
2    24 may               grosseto to rieti         -              plain stage       adriano baffi ( ita )
3    25 may                 rieti to scanno         -  stage with mountain (s)       piotr ugrumov ( lat )
4    26 may    lago di scanno to marcianise         -              plain stage       fabio baldato ( ita )
5    27 may       paestum to terme luigiane         -  stage with mountain (s)    dimitri konyshev ( rus )
6    28 may  villafranca tirrena to messina         -              plain stage      guido bontempi ( ita )
7    29 may     capo d'orlando to agrigento         -              plain stage         bjarne riis ( den )
8    30 may            agrigento to palermo         -              plain stage       adriano baffi ( ita )
9    31 may                        rest day  rest day                 rest day                    rest day
10   1 june       montelibretti to fabriano         -              plain stage      giorgio furlan ( ita )
11   2 june        senigallia to senigallia         -    individual time trial     miguel indurain ( esp )
12   3 june             senigallia to dozza         -              plain stage  fabiano fontanelli ( ita )
13   4 june                 dozza to asiago         -  stage with mountain (s)    dimitri konyshev ( rus )
14   5 june               asiago to corvara         -  stage with mountain (s)     moreno argentin ( ita )
15   6 june              corvara to corvara         -  stage with mountain (s)  claudio chiappucci ( ita )
16   7 june            corvara to lumezzane         -  stage with mountain (s)      davide cassani ( ita )
17   8 june  lumezzane to borgo val di taro         -              plain stage       fabio baldato ( ita )
18   9 june        varazze to pontechianale         -  stage with mountain (s)      marco saligari ( ita )
19  10 june             sampeyre to fossano         -              plain stage       adriano baffi ( ita )
20  11 june           pinerolo to sestriere         -    individual time trial     miguel indurain ( esp )
21  12 june     turin to santuario di oropa         -  stage with mountain (s)    massimo ghirotto ( ita )
22  13 june                 biella to milan         -              plain stage       fabio baldato ( ita )
