               branding callsign frequency power (kw) station type                  location
0                  dzrh     dzrh    666khz      50 kw  originating              metro manila
1            dzrh laoag     dzmt    990khz       5 kw        relay                     laoag
2          dzrh dagupan     dwdh   1440khz      10 kw        relay                   dagupan
3       dzrh tuguegarao     dwrh    576khz       5 kw        relay                tuguegarao
4          dzrh isabela     dwrh    828khz       5 kw        relay        santiago , isabela
5           dzrh lucena     dwsr   1224khz       5 kw        relay                    lucena
6          dzrh palawan     dyph    693khz      10 kw        relay           puerto princesa
7             dzrh naga     dwmt    981khz       5 kw        relay                      naga
8         dzrh sorsogon     dzzh   1287khz       5 kw        relay                  sorsogon
9           dzrh kalibo     dykx    693khz       1 kw        relay            kalibo , aklan
10          dzrh iloilo     dydh   1485khz       5 kw        relay                    iloilo
11         dzrh bacolod     dybh   1080khz       5 kw        relay                   bacolod
12            dzrh cebu     dyrh   1395khz      10 kw        relay                      cebu
13        dzrh tacloban     dyth    990khz       5 kw        relay                  tacloban
14       dzrh zamboanga     dxzh    855khz       5 kw        relay                 zamboanga
15  dzrh cagayan de oro     dxkh    972khz       5 kw        relay            cagayan de oro
16           dzrh davao     dxrf   1260khz      10 kw        relay                     davao
17  dzrh general santos     dxgh    531khz       5 kw        relay            general santos
18          dzrh bislig     dxrh   1035khz       1 kw        relay  bislig , surigao del sur
