    rank          nation  gold  silver  bronze  total
0      1   united states    17      11       5     33
1      2          russia     6      11       7     24
2      3           japan     3       3       4     10
3      4          canada     0       4       3      7
4      5           china     0       2       3      5
5      6          france     2       0       2      4
6      7  czech republic     2       0       1      3
7      7         ukraine     1       1       1      3
8      8           italy     0       0       2      2
9      9      kazakhstan     1       0       0      1
10     9         germany     0       0       1      1
11     9     south korea     0       0       1      1
