     medal                  name              games      sport                       event
0     gold        george oywello         1962 perth     boxing                 heavyweight
1     gold          james odwori     1970 edinburgh     boxing             light flyweight
2     gold        mohamed muruli     1970 edinburgh     boxing          light welterweight
3     gold        benson masanda     1970 edinburgh     boxing                 heavyweight
4     gold        mohamed muruli  1974 christchurch     boxing                welterweight
5     gold           ayub kalule  1974 christchurch     boxing                 lightweight
6     gold          justin juuko      1990 auckland     boxing  light flyweight ( - 48 kg)
7     gold       godfrey nyakana      1990 auckland     boxing      lightweight ( - 60 kg)
8     gold       dorcus inzikuru     2006 melbourne  athletics         3000 m steeplechase
9     gold       boniface kiprop     2006 melbourne  athletics                10000 metres
10    gold  moses ndiema kipsiro         2010 delhi  athletics                 5000 metres
11    gold  moses ndiema kipsiro         2010 delhi  athletics                10000 metres
12  silver         patrick etolu     1954 vancouver  athletics                   high jump
13  silver         thomas kawere       1958 cardiff     boxing                welterweight
14  silver           kesi odongo         1962 perth     boxing                 lightweight
15  silver          leo rwabwogo     1970 edinburgh     boxing                   flyweight
16  silver     deogratias musoke     1970 edinburgh     boxing               featherweight
17  silver        william koskei     1970 edinburgh  athletics          400 metres hurdles
18  silver           silver ayoo  1974 christchurch  athletics                  400 metres
19  silver          james odwori  1974 christchurch     boxing             light flyweight
20  silver              ali rojo  1974 christchurch     boxing                bantamweight
21  silver     shadrack odhiambo  1974 christchurch     boxing               featherweight
22  silver        ruth kyalisima      1982 brisbane  athletics               400 m hurdles
23  silver      peter rwamuhanda      1982 brisbane  athletics               400 m hurdles
24  silver      victor byarugaba      1982 brisbane     boxing          light middleweight
25  silver         joseph lubega    2002 manchester     boxing           light heavyweight
26  silver       mohamed kayongo    2002 manchester     boxing          light welterweight
