                    a dyck                 h rempel                    r epp               j thiessen               j j neufeld            ed zacharias                word meaning
0                     saje                     saje                     saje                     saje                     sajen                   sajen                      to say
1                   tjoatj                   kjoakj                   kjoakj                   tjoatj                    kjoakj                  kjoakj                      church
2                      ahm                       am                      ahm                      ahm                        am                      am                         him
3                    froag                    froag                    froag                    froag                     fruog                   froag                    question
4    lea , learen , jeleat    lea , learen , jeleat    lea , learen , jeleat    lea , learen , jeleat     lea , learen , jeleat  lia , lieren , jelieet  teaching , learn , learned
5                       du                       d端                       du                       du                        du                      du                         you
6  rollen , jerollt , golt  rollen , jerollt , golt  rollen , jerollt , golt  rollen , jerollt , golt  rollen , jerollt , gollt  rollen , jerolt , golt     to roll , rolled , gold
7              wuat , buak              wuat , b端ak              wuat , b端ak              wuat , b端ak               wuut , buuk             wuat , buak                 word , book
8                    zocka                   ssocka                    zocka                    zocka                    tsocka                   zocka                       sugar
9                      von                     fonn                      von                      von                      fonn                     von                        from
